field,section,strategy,status,expected,outcome,grader_verdict,faithful,covered_by,n_sources,note
datasetName,Overview,tool,filled,present,TP_ok,,,orchestrator,1,
datasetDescription,Overview,retrieval,filled,present,TP_ok,CORRECT,True,orchestrator,5,
statusDate,Overview,tool,filled,present,TP_ok,,,orchestrator,1,
status,Overview,tool,filled,present,TP_ok,,,orchestrator,1,
relevantLinks,Overview,tool,filled,present,TP_ok,,,orchestrator,3,
developers,Overview,tool,filled,present,TP_ok,,,orchestrator,1,
owners,Overview,tool,filled,present,TP_ok,,,orchestrator,2,
deployerInstructions,Overview,retrieval,filled,absent,FP_hallucination,CORRECT,True,orchestrator,5,
versionDetails,Overview,tool,filled,present,TP_ok,,,orchestrator,2,
dataVersionControlTools,Data Versioning,tool,filled,present,TP_ok,,,orchestrator,4,
schemaVersioning,Data Versioning,retrieval,filled,partial,TP_content_ko,CORRECT,True,orchestrator,5,
knownModels,Known Usages,tool,filled,present,TP_ok,,,orchestrator,2,
knownApplications,Known Usages,retrieval,filled,present,TP_ok,CORRECT,True,orchestrator,5,
dataTypes,Dataset Characteristics,tool,filled,present,TP_ok,,,orchestrator,1,
size,Dataset Characteristics,tool,filled,present,TP_ok,,,orchestrator,6,
primaryUseCases,Dataset Characteristics,retrieval,filled,present,TP_ok,CORRECT,True,orchestrator,5,
sources,Data Origin and Source,retrieval,filled,present,TP_ok,CORRECT,True,orchestrator,5,
collectionMethod,Provenance,retrieval,filled,absent,FP_hallucination,CORRECT,True,orchestrator,5,
collectionDates,Provenance,retrieval,filled,absent,FP_hallucination,CORRECT,True,orchestrator,5,
collectionCadence,Provenance,retrieval,filled,absent,FP_hallucination,CORRECT,True,orchestrator,5,
preprocessingPipeline,Data Pre-Processing,tool,filled,present,TP_ok,,,orchestrator,2,
dataCleaning,Data Pre-Processing,retrieval,filled,absent,FP_hallucination,CORRECT,True,orchestrator,5,
dataTransformation,Data Pre-Processing,retrieval,filled,present,TP_content_ko,CORRECT,True,orchestrator,5,
featureEngineering,Data Pre-Processing,retrieval,abstained,absent,TN_abstention,CORRECT,False,orchestrator,5,"Generated text failed the faithfulness check; unsupported: Local feature tensors are extracted from the innermost two ResNet50 layers [2], and global feature vectors are obtained via average pooling ["
dataAugmentation,Data Pre-Processing,retrieval,filled,present,TP_ok,CORRECT,True,orchestrator,5,
annotation,Data Annotation and Labeling,retrieval,filled,partial,TP_ok,CORRECT,True,orchestrator,5,
validation,Validation Types,tool,filled,present,TP_ok,,,orchestrator,1,
sampling,Sampling Methods,retrieval,filled,present,TP_ok,CORRECT,True,orchestrator,5,
distribution,Dataset Distribution and Licensing,tool,filled,present,TP_ok,,,orchestrator,2,
license,Dataset Distribution and Licensing,tool,filled,present,TP_ok,,,orchestrator,1,
access,"Access, Retention, and Deletion",retrieval,filled,absent,FP_hallucination,CORRECT,True,orchestrator,5,
retention,"Access, Retention, and Deletion",human,human_required,absent,TN_abstention,,,spec,0,Judgement/organisational information: must be provided by the manufacturer.
riskAssessment,Data Risk Assessment,retrieval,abstained,partial,FN_missed,CORRECT,False,orchestrator,5,"Generated text failed the faithfulness check; unsupported: To mitigate this, a weighted binary cross-entropy loss is applied, with weights inversely proportional to class frequencies in the training d"
cybersecurity,Cybersecurity Measures,retrieval,filled,absent,FP_hallucination,CORRECT,True,orchestrator,1,
docAuthors,Documentation Metadata,tool,filled,present,TP_ok,,,orchestrator,1,
docVersion,Documentation Metadata,tool,filled,present,TP_ok,,,orchestrator,1,
reviewers,Documentation Metadata,human,human_required,absent,TN_abstention,,,spec,0,Judgement/organisational information: must be provided by the manufacturer.
standardsApplied,Standards Applied,human,human_required,absent,TN_abstention,,,spec,0,Judgement/organisational information: must be provided by the manufacturer.
dataMonitoring,Data Monitoring,tool,filled,present,TP_ok,,,orchestrator,5,
euDeclaration,EU Declaration of Conformity,human,human_required,absent,TN_abstention,,,spec,0,Judgement/organisational information: must be provided by the manufacturer.
