field,strategy,expected,full,dry-run,full,full,infer-strategy,no-grade,no-verify,differs
datasetName,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
datasetDescription,retrieval,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
statusDate,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
status,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
relevantLinks,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
developers,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
owners,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
deployerInstructions,retrieval,absent,TN_abstention,FP_hallucination,TN_abstention,TN_abstention,TN_abstention,FP_hallucination,TN_abstention,yes
versionDetails,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
dataVersionControlTools,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
schemaVersioning,retrieval,partial,FN_missed,FN_missed,FN_missed,FN_missed,FN_missed,TP_content_ko,FN_missed,yes
knownModels,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
knownApplications,retrieval,present,TP_content_ko,TP_ok,TP_content_ko,TP_content_ko,TP_ok,TP_ok,TP_ok,yes
dataTypes,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
size,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
primaryUseCases,retrieval,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
sources,retrieval,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
collectionMethod,retrieval,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,FP_hallucination,TN_abstention,yes
collectionDates,retrieval,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,FP_hallucination,TN_abstention,yes
collectionCadence,retrieval,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,FP_hallucination,TN_abstention,yes
preprocessingPipeline,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
dataCleaning,retrieval,absent,FP_hallucination,TN_abstention,FP_hallucination,FP_hallucination,FP_hallucination,FP_hallucination,FP_hallucination,yes
dataTransformation,retrieval,present,TP_content_ko,TP_content_ko,TP_content_ko,TP_content_ko,TP_content_ko,TP_content_ko,TP_content_ko,
featureEngineering,retrieval,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,
dataAugmentation,retrieval,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
annotation,retrieval,partial,FN_missed,TP_ok,FN_missed,FN_missed,TP_ok,TP_ok,TP_ok,yes
validation,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
sampling,retrieval,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
distribution,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
license,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
access,retrieval,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,FP_hallucination,TN_abstention,yes
retention,human,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,
riskAssessment,retrieval,partial,TP_ok,FN_missed,TP_ok,TP_ok,FN_missed,FN_missed,FN_missed,yes
cybersecurity,retrieval,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,FP_hallucination,TN_abstention,yes
docAuthors,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
docVersion,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
reviewers,human,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,
standardsApplied,human,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,
dataMonitoring,tool,present,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,TP_ok,
euDeclaration,human,absent,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,TN_abstention,
